Status,Name,Organisation,Address,City,State,Zip Code,Country,E-mails,Domain,Alexa Rank,Registrar,Time
Legitimate,appdomain.cloud,International Business Machines Corporation,None,None,NY,None,us,domainabuse@cscglobal.com,appdomain.cloud,153380,CSC Corporate Domains Inc.,03:54.1
Legitimate,FLIPKART.COM,Flipkart Internet Private Limited,None,None,Karnataka,None,IN,abuse@godaddy.com,FLIPKART.COM,161,GoDaddy.com LLC,04:37.1
Legitimate,BING.COMbing.com,Microsoft Corporation,One Microsoft Way,Redmond,WA,98052,US,abusecomplaints@markmonitor.comdomains@microsoft.commsnhst@microsoft.comwhoisrequest@markmonitor.com,BING.COMbing.com,35,MarkMonitor Inc.,2020-06-24 20:07:29.657081
Legitimate,GOOGLE.COMgoogle.com,Google LLC,None,None,CA,None,US,abusecomplaints@markmonitor.comwhoisrequest@markmonitor.com,GOOGLE.COMgoogle.com,1,MarkMonitor Inc.,2020-06-24 23:28:21.942613
Legitimate,WHATSAPP.COM,Whatsapp Inc.,650 Castro Street Suite 120-219,Mountain View,CA,94041,US,abusecomplaints@registrarsafe.comdomain@fb.com,WHATSAPP.COM,66,RegistrarSafe LLC,2020-06-24 23:28:24.303601
Legitimate,WHATSAPP.COM,Whatsapp Inc.,650 Castro Street Suite 120-219,Mountain View,CA,94041,US,abusecomplaints@registrarsafe.comdomain@fb.com,WHATSAPP.COM,66,RegistrarSafe LLC,2020-06-24 23:28:26.722892
Legitimate,GITHUB.COMgithub.com,GitHub Inc.,None,None,CA,None,US,abusecomplaints@markmonitor.comwhoisrequest@markmonitor.com,GITHUB.COMgithub.com,77,MarkMonitor Inc.,2020-06-24 23:28:29.696922
Legitimate,WHATSAPP.COM,Whatsapp Inc.,650 Castro Street Suite 120-219,Mountain View,CA,94041,US,abusecomplaints@registrarsafe.comdomain@fb.com,WHATSAPP.COM,66,RegistrarSafe LLC,2020-06-24 23:28:31.986765
Legitimate,WHATSAPP.COM,Whatsapp Inc.,650 Castro Street Suite 120-219,Mountain View,CA,94041,US,abusecomplaints@registrarsafe.comdomain@fb.com,WHATSAPP.COM,66,RegistrarSafe LLC,2020-06-24 23:28:42.457874
Legitimate,WHATSAPP.COM,Whatsapp Inc.,650 Castro Street Suite 120-219,Mountain View,CA,94041,US,abusecomplaints@registrarsafe.comdomain@fb.com,WHATSAPP.COM,66,RegistrarSafe LLC,2020-06-24 23:28:45.220214
Legitimate,WHATSAPP.COM,Whatsapp Inc.,650 Castro Street Suite 120-219,Mountain View,CA,94041,US,abusecomplaints@registrarsafe.comdomain@fb.com,WHATSAPP.COM,66,RegistrarSafe LLC,2020-06-24 23:28:47.608238
Legitimate,GOOGLE.COMgoogle.com,Google LLC,None,None,CA,None,US,abusecomplaints@markmonitor.comwhoisrequest@markmonitor.com,GOOGLE.COMgoogle.com,1,MarkMonitor Inc.,2020-06-24 23:28:49.891482
Legitimate,GOOGLE.COMgoogle.com,Google LLC,None,None,CA,None,US,abusecomplaints@markmonitor.comwhoisrequest@markmonitor.com,GOOGLE.COMgoogle.com,1,MarkMonitor Inc.,2020-06-24 23:28:52.026962
Legitimate,WHATSAPP.COM,Whatsapp Inc.,650 Castro Street Suite 120-219,Mountain View,CA,94041,US,abusecomplaints@registrarsafe.comdomain@fb.com,WHATSAPP.COM,66,RegistrarSafe LLC,2020-06-24 23:28:54.011470
Legitimate,WHATSAPP.COM,Whatsapp Inc.,650 Castro Street Suite 120-219,Mountain View,CA,94041,US,abusecomplaints@registrarsafe.comdomain@fb.com,WHATSAPP.COM,66,RegistrarSafe LLC,2020-06-24 23:28:56.132651
Legitimate,WHATSAPP.COM,Whatsapp Inc.,650 Castro Street Suite 120-219,Mountain View,CA,94041,US,abusecomplaints@registrarsafe.comdomain@fb.com,WHATSAPP.COM,66,RegistrarSafe LLC,2020-06-24 23:28:58.250016
Legitimate,WHATSAPP.COM,Whatsapp Inc.,650 Castro Street Suite 120-219,Mountain View,CA,94041,US,abusecomplaints@registrarsafe.comdomain@fb.com,WHATSAPP.COM,66,RegistrarSafe LLC,2020-06-24 23:29:00.350363
Legitimate,WHATSAPP.COM,Whatsapp Inc.,650 Castro Street Suite 120-219,Mountain View,CA,94041,US,abusecomplaints@registrarsafe.comdomain@fb.com,WHATSAPP.COM,66,RegistrarSafe LLC,2020-06-24 23:29:02.391741
Legitimate,WHATSAPP.COM,Whatsapp Inc.,650 Castro Street Suite 120-219,Mountain View,CA,94041,US,abusecomplaints@registrarsafe.comdomain@fb.com,WHATSAPP.COM,66,RegistrarSafe LLC,2020-06-24 23:29:04.486044
Legitimate,WHATSAPP.COM,Whatsapp Inc.,650 Castro Street Suite 120-219,Mountain View,CA,94041,US,abusecomplaints@registrarsafe.comdomain@fb.com,WHATSAPP.COM,66,RegistrarSafe LLC,2020-06-24 23:29:06.543281
Legitimate,WHATSAPP.COM,Whatsapp Inc.,650 Castro Street Suite 120-219,Mountain View,CA,94041,US,abusecomplaints@registrarsafe.comdomain@fb.com,WHATSAPP.COM,66,RegistrarSafe LLC,2020-06-24 23:29:08.850349
Legitimate,WHATSAPP.COM,Whatsapp Inc.,650 Castro Street Suite 120-219,Mountain View,CA,94041,US,abusecomplaints@registrarsafe.comdomain@fb.com,WHATSAPP.COM,66,RegistrarSafe LLC,2020-06-24 23:29:10.911973
Legitimate,WHATSAPP.COM,Whatsapp Inc.,650 Castro Street Suite 120-219,Mountain View,CA,94041,US,abusecomplaints@registrarsafe.comdomain@fb.com,WHATSAPP.COM,66,RegistrarSafe LLC,2020-06-24 23:29:12.858364
Malicious,greenindiatextiles.in,None,None,None,Tamil Nadu,None,IN,None,greenindiatextiles.in,-1,GoDaddy.com LLC,2020-06-24 23:29:59.167056
Malicious,COM-AUTHORIZE.INFO,Data Protected,None,None,WA,None,US,None,COM-AUTHORIZE.INFO,-1,eNom Inc.,2020-06-24 23:30:02.716027
Malicious,NUT.CC,None,east road 146,jingxian,Anhui Sheng,242500,CN,abuse@NameBright.com13956008@qq.com,NUT.CC,4561115,DropCatch.com 668 LLC,2020-06-24 23:30:06.870259
Malicious,igg.biz,None,None,None,None,None,None,None,igg.biz,-1,NameSilo LLC,2020-06-24 23:30:15.537230
Malicious,16MB.COM,Hostinger International Ltd.,None,None,None,None,CY,abuse@godaddy.com,16MB.COM,-1,GoDaddy.com LLC,2020-06-24 23:30:26.435555
