,_id,_rev,URL,Status,Name,Organisation,Address,City,State,Zipcode,Country,E-mails,Domain,Alexa Rank,Registrar,time
0,2882dd75812e915038334232090000f0,1-837d866f195a1124fbeb2db9230083d9,https://microsoftedge.microsoft.com/addons/category/productivity?hl=fr,Legitimate,MICROSOFT.COMmicrosoft.com,Microsoft Corporation,One Microsoft Way,Redmond,WA,98052,US,abusecomplaints@markmonitor.comadmin@domains.microsoftmsnhst@microsoft.comwhoisrequest@markmonitor.com,MICROSOFT.COMmicrosoft.com,25,MarkMonitor Inc.,39:49.4
1,2882dd75812e91503833423209000efb,1-b80545f3a9594e7f5a9a545fdb2898fa,https://drive.google.com/drive/u/0/my-drive,Legitimate,GOOGLE.COM,None,None,None,None,None,None,abusecomplaints@markmonitor.com,GOOGLE.COM,1,MarkMonitor Inc.,22:34.9
2,2882dd75812e915038334232090019fa,1-9ac0a6e5cdfe33783f9591474a37b03c,https://colab.research.google.com/drive/1fvnahpvlomym_p94wst4erls1z1x8uex?authuser=2,Legitimate,GOOGLE.COM,None,None,None,None,None,None,abusecomplaints@markmonitor.com,GOOGLE.COM,1,MarkMonitor Inc.,23:26.4
3,2882dd75812e91503833423209002891,1-d818a6233607dcfccd7517c22a1f3013,https://accounts.google.com/signin/oauth/consent?authuser=1,Legitimate,GOOGLE.COM,None,None,None,None,None,None,abusecomplaints@markmonitor.com,GOOGLE.COM,1,MarkMonitor Inc.,24:16.0
4,2882dd75812e91503833423209003300,1-a1e99f4a04a149039c5834cb69abd4f4,https://colab.research.google.com/drive/1fvnahpvlomym_p94wst4erls1z1x8uex?authuser=2,Legitimate,GOOGLE.COM,None,None,None,None,None,None,abusecomplaints@markmonitor.com,GOOGLE.COM,1,MarkMonitor Inc.,24:38.8
5,2882dd75812e915038334232090036d1,1-3fcf04860dac268b8ad907a16ed54e8b,https://uppward.sentinelprotocol.io/welcome/,Legitimate,SENTINELPROTOCOL.IOsentinelprotocol.io,None,None,None,None,None,None,None,SENTINELPROTOCOL.IOsentinelprotocol.io,1023783,GANDI SAS,42:09.7
6,2882dd75812e91503833423209004118,1-131e8fcfc2640204333546d609aac611,https://mudv5.eu-gb.cf.appdomain.cloud/,Legitimate,appdomain.cloud,International Business Machines Corporation,None,None,NY,None,us,domainabuse@cscglobal.com,appdomain.cloud,141260,CSC Corporate Domains Inc.,16:59.6
7,2882dd75812e915038334232090046b1,1-bdfa7220fb4c8c2c4943cf37f8597f20,https://www.youtube.com/channel/uc4estxcpjk8cho7be8gj5nw,Legitimate,YOUTUBE.COMyoutube.com,Google LLC,None,None,CA,None,US,abusecomplaints@markmonitor.comwhoisrequest@markmonitor.com,YOUTUBE.COMyoutube.com,2,MarkMonitor Inc.,38:40.2
8,2882dd75812e915038334232090050d6,1-ddf4f6c7e0dfc386ca001238abf29721,https://romsmania.cc/roms/nintendo-ds,Legitimate,ROMSMANIA.CC,Whois Privacy Corp.,Ocean Centre Montagu Foreshore East Bay Street,Nassau,New Providence,None,BS,abuse@internet.bsromsmania.cc-owner-qukx@customers.whoisprivacycorp.comromsmania.cc-admin-23ma@customers.whoisprivacycorp.comromsmania.cc-tech-jykx@customers.whoisprivacycorp.com,ROMSMANIA.CC,13562,Internet Domain Service BS Corp.,09:07.2
9,2882dd75812e91503833423209005897,1-aea5ea016c502891c8b47dcf13e22678,https://www.youtube.com/playlist?list=pl01gecxwixuncipdbmanc5ayrgpc_orrw,Legitimate,YOUTUBE.COMyoutube.com,Google LLC,None,None,CA,None,US,abusecomplaints@markmonitor.comwhoisrequest@markmonitor.com,YOUTUBE.COMyoutube.com,2,MarkMonitor Inc.,10:16.7
